#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI.Op(Ptr{Nothing} @0x00007f56450e3100, nothing)
#@datatype=UInt8
#@nrep=20
#@root_proc=0
#@nprocs=36
#@verbose=true
process                                               test       nrep        count           time
     20                                          MPI_Bcast         16            1   0.0000037570
     20                                          MPI_Bcast         17            1   0.0000033510
     20                                          MPI_Bcast         18            1   0.0000037020
     20                                          MPI_Bcast         19            1   0.0000040150
     20                                          MPI_Bcast         20            1   0.0000037010
     21                                          MPI_Bcast          1            1   0.0001108410
     21                                          MPI_Bcast          2            1   0.0000026690
     21                                          MPI_Bcast          3            1   0.0000048790
     21                                          MPI_Bcast          4            1   0.0000035680
     21                                          MPI_Bcast          5            1   0.0000016070
     21                                          MPI_Bcast          6            1   0.0000022650
     21                                          MPI_Bcast          7            1   0.0000025450
     21                                          MPI_Bcast          8            1   0.0000023670
     21                                          MPI_Bcast          9            1   0.0000017240
     21                                          MPI_Bcast         10            1   0.0000014310
     21                                          MPI_Bcast         11            1   0.0000014830
     21                                          MPI_Bcast         12            1   0.0000026260
     21                                          MPI_Bcast         13            1   0.0000012620
     21                                          MPI_Bcast         14            1   0.0000015470
     21                                          MPI_Bcast         15            1   0.0000051530
     21                                          MPI_Bcast         16            1   0.0000018240
     21                                          MPI_Bcast         17            1   0.0000014460
     21                                          MPI_Bcast         18            1   0.0000016660
     21                                          MPI_Bcast         19            1   0.0000018380
     21                                          MPI_Bcast         20            1   0.0000018900
     22                                          MPI_Bcast          1            1   0.0001072290
     22                                          MPI_Bcast          2            1   0.0000032340
     22                                          MPI_Bcast          3            1   0.0000032010
     22                                          MPI_Bcast          4            1   0.0000049470
     22                                          MPI_Bcast          5            1   0.0000036220
     22                                          MPI_Bcast          6            1   0.0000036930
     22                                          MPI_Bcast          7            1   0.0000039040
     22                                          MPI_Bcast          8            1   0.0000036290
     22                                          MPI_Bcast          9            1   0.0000031450
     22                                          MPI_Bcast         10            1   0.0000030770
     22                                          MPI_Bcast         11            1   0.0000029460
     22                                          MPI_Bcast         12            1   0.0000044130
     22                                          MPI_Bcast         13            1   0.0000025910
     22                                          MPI_Bcast         14            1   0.0000025980
     22                                          MPI_Bcast         15            1   0.0000060560
     22                                          MPI_Bcast         16            1   0.0000040690
     22                                          MPI_Bcast         17            1   0.0000031750
     22                                          MPI_Bcast         18            1   0.0000036150
     22                                          MPI_Bcast         19            1   0.0000032390
     22                                          MPI_Bcast         20            1   0.0000030320
     23                                          MPI_Bcast          1            1   0.0001804620
     23                                          MPI_Bcast          2            1   0.0000048820
     23                                          MPI_Bcast          3            1   0.0000014970
     23                                          MPI_Bcast          4            1   0.0000038610
     23                                          MPI_Bcast          5            1   0.0000055000
     23                                          MPI_Bcast          6            1   0.0000048490
     23                                          MPI_Bcast          7            1   0.0000030710
     23                                          MPI_Bcast          8            1   0.0000026400
     23                                          MPI_Bcast          9            1   0.0000022260
     23                                          MPI_Bcast         10            1   0.0000019340
     23                                          MPI_Bcast         11            1   0.0000016500
     23                                          MPI_Bcast         12            1   0.0000034560
     23                                          MPI_Bcast         13            1   0.0000017210
     23                                          MPI_Bcast         14            1   0.0000016730
     23                                          MPI_Bcast         15            1   0.0000071600
     23                                          MPI_Bcast         16            1   0.0000017100
     23                                          MPI_Bcast         17            1   0.0000018780
     23                                          MPI_Bcast         18            1   0.0000030750
     23                                          MPI_Bcast         19            1   0.0000023380
